Name,Price,Rating,Price cut
尘埃见闻录,42,81.06,31
CHESS with LASERS,43,81.66,85
Degrees of Separation,43,81.76,90
Diefrosty,43,79.83,75
Down in Bermuda,43,81.74,90
Grim Legends: The Forsaken Bride,43,91,80
Toroom,43,77.11,85
Home Behind,44,82.67,75
Leisure Suit Larry 7 - Love for Sail,46,77.87,70
Marcella Moon: Secret on the Hill,46,76.13,65
Pixel Pirate,46,76.9,90
The Divine Invasion,46,79.3,90
Knights of Pen and Paper 2,47,83.74,75
Adorable Witch,48,85.88,21
Cute Honey,48,87.56,21
Gemini,48,80.73,75
Heroes of the Three Kingdoms,48,87.42,30
Heroes of the Three Kingdoms 2,48,90.19,30
Lost,48,79.16,21
Sudocats,48,89.37,20
The Test,48,94.94,21
AHEGAL SEASONS,49,84.19,40
Planet TD,49,78.95,40
PropHunter,49,81.3,51
Robot Roller-Derby Disco Dodgeball,49,88.92,80
Silence,49,80.78,90
Soulflow,49,79.32,40
The Adventures of Fei Duanmu 端木斐异闻录,49,86.68,51
The Walking Vegetables,49,82.75,80
√Letter - Root Letter -,50,75.93,88
Aqua Kitty - Milk Mine Defender,50,81.42,70
I got a cat maid,50,81.15,50
StrikeForce Kitty,50,81.94,80
川建国同志想要连任/Comrade Trump's Re-election,50.5,84.26,56
Choice of Life: Middle Ages,51,81.49,60
Crazy Kung Fu,51,80.69,80
Girl Jigsaw 2,51,78.48,50
ISEKAI QUEST,51,85.14,50
Monster Girl Dormitory,51,80.98,50
Nethergate: Resurrection,51,78.63,60
Path of Sacrifice,51,81.25,50
Star Control I and II,51,72.25,50
Star Control III,51,51.34,50
The Office Quest,51,87.71,75
To Be or Not To Be,51,83.57,60
WarDogs: Red's Return,51,80.72,50
Fantasy Mosaics 14: Fourth Color,52,76.97,70
8 Bit Space,53,78.69,60
Giant Bear Rampage! ☢️🐻,53,82.85,60
Space Turbo,53,76.34,80
永远消失的幻想乡 ～ The Disappearing of Gensokyo,53,82.14,80
A game that saves the muscles caught in the ceiling of the gymnasium,54,81.29,11
Cut to the Core,54,81.92,34
DragonRideVR,54,77.67,85
Grim Legends 2: Song of the Dark Swan,54,90.76,75
Nympho's Path,54,78.94,11
Cats Organized Neatly,55,93.64,30
Daedalic Adventure Bundle,55,85.63,90
Dogs Organized Neatly,55,91.62,30
Buzludzha VR,57,79.45,80
Life Goes On: Done to Death,57,91.47,80
LoveKami -Divinity Stage-,57,77.06,80
LoveKami -Useless Goddess-,57,76.2,80
Minit Fun Racer,57,86.43,30
The Little Acre,57,83.18,80
Wish,57,87.19,30
A NIGHTMARE'S TRIP,58,80.72,70
Songbird Symphony,58,85.1,85
Bot Vice,59,88.96,80
FlatOut: Ultimate Carnage,59,83.46,80
Hyper Jam,59,86.19,80
The Last Tinker™: City of Colors,59,76.66,90
Darkness and Flame: Missing Memories,61,85.31,65
DEEP SPACE WAIFU: NEKOMIMI,61,91.3,40
Frontline: The Great Patriotic War,61,76.25,60
Hive - The Expansions Complete Pack,61,76.13,65
Lost Lands: Mistakes of the Past,61,81.68,65
Root Letter Last Answer,61,76.75,88
Strike Buster Prototype,61,82.97,40
Aragami,62,88.01,85
BlazBlue: Continuum Shift Extend,62,86.39,85
Containment Initiative,62,83.03,75
Predynastic Egypt,62,87.23,75
Regency Solitaire,62,88.13,75
弹幕音乐绘 ～风雷幻奏曲～ / Barrage Musical ~A Fantasy of Tempest~,62,88.47,75
Devil's Dungeon,63,78.13,30
Love n War: Warlord by Chance,63,82.91,26
ARKOS,64,77.19,75
ARMED SEVEN,64,82.3,50
Gravity Runner,64,77.87,75
Marble Age: Remastered,64,78.59,75
Ryse: Son of Rome,64,84.39,75
Supercharged Robot VULKAISER,64,85.86,50
The Sorrowvirus,64,76.85,75
Urban Trial Freestyle,64,78.8,90
View From Below,64,79.58,75
Grim Legends 3: The Dark City,65,86.64,70
Nightmare House,65,78.48,21
Skator Gator,65,80.83,21
Who Needs a Hero?,65,87.88,21
Break Stuff With Coins,66,80.28,66
Darkness Under My Bed,66,78.57,50
Dear Agony Aunt,66,76.34,50
Dininho Adventures: Definitive Edition,66,84.31,50
Escape Lala 2 - Retro Point and Click Adventure,66,87.94,50
Globesweeper: Hex Puzzler,66,80.88,66
Hollow Island,66,76.26,50
Knight Bewitched,66,82.21,50
Metal as Phuk,66,86.93,50
Misadventures of Laura Silver,66,80.49,66
Phantom Project,66,78.56,50
RITE,66,80.93,50
Run!ZombieFood!,66,77.84,35
911 Operator,69,86.9,80
Anna's Quest,69,84.35,90
Cats in Heat,69,77.41,16
Cupid Nonogram,69,80.62,16
Furry Hentai Isekai,69,76.9,16
Hentai Girl Clicker,69,80.01,16
If My Heart Had Wings,69,88.85,80
iZBOT,69,76.58,90
